YB,F8,u_F8,e_F8,F12,u_F12,e_F12,F24,u_F24,e_F24,F70,u_F70,e_F70,F160,u_F160,e_F160,F250,u_F250,e_F250,F350,u_F350,e_F350,F500,u_F500,e_F500,F870,u_F870,e_F870,F1100,u_F1100,e_F1100,Multiple Sources,No Obvious Source 8,No Obvious Source 12,No Obvious Source 24,No Obvious Source 70,No Obvious Source 160,No Obvious Source 250,No Obvious Source 350,No Obvious Source 500,No Obvious Source 870,No Obvious Source 1100,Poor Confidence 8,Poor Confidence 12,Poor Confidence 24,Poor Confidence 70,Poor Confidence 160,Poor Confidence 250,Poor Confidence 350,Poor Confidence 500,Poor Confidence 870,Poor Confidence 1100,Very Circular,RMS,WISE Q,"WISE C,G,K",CORNISH,No Association
84,0.213844,0.06454273917,0.3018216044,0.023682,0.01584047884,0.6688826469,0.304378,0.2341194580101066,0.7691733897,17.592978,3.772128854,0.2144110482,76.704,3.831,0.04994524522378736,80.632,3.156,0.039140786522851,31.193,5.169,0.16571026,15.627,1.254,0.080245726,1.62,,,4.382,0.355,0.08101323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,0.686786,0.2918399483,0.4249357854,0.297896,0.1544544544,0.5184844858,4.030178,1.2792068680410489,0.3174070396,63.51898,7.619039593,0.119949023,85.604,2.484,0.02901733525974339,69.612,2.06,0.029592598155196534,19.404,0.98,0.050505053,6.876,0.361,0.052501455,0.84,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,1.038562,0.2191329365,0.2109964899,0.26521,0.05979058036,0.2254461761,1.045408,0.032430710296362554,0.03102206057,15.152356,0.6972112785,0.04601339082,19.756,0.582,0.02945940560670873,28.859,2.448,0.08482622246867988,12.537,0.775,0.06181702,5.679,0.445,0.078358866,,,,0.554,0.132,0.23826714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
87,1.262542,0.2815191118,0.2229780172,0.427778,0.09988879751,0.2335061586,3.898092,0.5042777801973648,0.1293652844,64.635966,7.74980247,0.1198992287,66.945,1.45,0.021659572002146778,49.635,1.172,0.023612371321542033,14.022,0.443,0.03159321,4.902,0.206,0.042023662,0.62,,,0.459,0.118,0.2570806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
88,0.347018,0.1149814875,0.3313415659,0.10619,0.03002244161,0.2827238121,0.538568,0.05809821015238,0.1078753475,14.808752,5.147427225,0.3475935869,17.433,0.735,0.04216141882092094,36.827,1.538,0.041762836712255516,16.79,0.539,0.03210244,6.447,0.524,0.081278116,1.62,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
91,1.2758,0.1580413752,0.1238762935,0.422988,0.09043878769,0.2138093461,6.628448,0.5103683378274653,0.07699665711,214.03871,21.84026496,0.1020388553,304.83,6.358,0.020857526495540932,217.594,5.855,0.02690791115138049,60.574,0.97,0.016013471,22.428,0.718,0.032013554,2.38,,,1.146,0.139,0.12129144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,1.051884,0.6188309242,0.5883071938,0.341138,0.3151066176,0.9236925163,1.785886,1.405402286739745,0.7869496075,26.247228,12.97062204,0.4941711193,78.075,1.739,0.02227345453482807,79.624,2.195,0.02756706436806488,25.952,0.413,0.015913995,8.058,2.198,0.2727724,1.8,,,0.951,0.143,0.15036805,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,0.179614,0.02231072231,0.1242148291,0.032924,0.01761431747,0.5349993158,0.152364,0.040754108755234796,0.2674785957,5.50184,0.382698822,0.06955833357,8.743,0.256,0.02928056870174397,16.049,1.333,0.08305813101669199,6.809,0.539,0.07915993,2.579,0.127,0.049243893,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,6.593226,1.863125823,0.282581823,2.060184,0.7605398032,0.3691611056,,,,158.278076,40.46420447,0.2556526178,130.463,4.802,0.036807371023020834,81.778,2.992,0.036586858360400425,29.347,1.626,0.055406004,9.384,0.439,0.04678176,3.37,,,3.807,0.33,0.08668243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,1.133656,0.05680777438,0.05011024013,0.08196,0.02017115391,0.2461097353,,,,9.639498,3.676365945,0.3813856225,86.849,6.073,0.06992596292673067,44.773,1.285,0.028700332044343663,13.422,0.367,0.027343169,4.417,1.363,0.30858052,0.77,,,0.297,0.093,0.31313133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
99,0.239022,0.04982990938,0.2084741546,0.04997,0.02649533166,0.5302247681,0.122468,0.0381888945931204,0.3118275353,6.85631,1.533549121,0.2236697467,10.825,0.801,0.07399538097425643,13.433,0.528,0.03930618604473886,8.664,0.181,0.020891044,5.896,0.389,0.06597693,0.872,0.174,0.19954129,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,1.758154,0.491169106,0.2793663729,0.504416,0.2198637125,0.4358777527,2.310234,0.5843349633854112,0.2529332368,62.09137,8.555151109,0.1377832557,84.086,2.326,0.02766215511743296,62.169,1.737,0.027939969897471544,19.941,0.698,0.03500326,8.346,2.114,0.253295,0.77,,,0.402,0.111,0.2761194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
101,0.43606,0.2711229676,0.621756106,0.148012,0.1688817095,1.141000118,0.354462,0.272982997582764,0.770133322,15.277402,13.77200325,0.9014623857,50.84,2.818,0.05542879776163048,53.995,2.097,0.0388369271905127,16.058,0.777,0.048387095,8.709,0.454,0.052129984,1.28,,,1.494,0.213,0.14257029,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
102,0.318232,0.07987613048,0.250999681,0.104858,0.0605832755,0.5777649345,0.632892,0.2790654351857268,0.4409368979,14.594268,4.299060399,0.2945718414,24.398,1.324,0.054266743214758356,15.71,1.347,0.08574156606371883,10.517,0.454,0.043168202,3.521,0.558,0.15847772,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
